id,price
100000,1951844.47
100001,2377947.97
100002,5499763.83
100003,1376218.13
100004,6962739.54
100005,5149484.91
100006,4390098.45
100007,5368836.32
100008,2637025.62
100009,4374126.19
100010,1962722.94
100011,10777485.23
100012,2121984.26
100013,7291187.76
100014,3057153.24
100015,1564499.31
100016,2734279.48
100017,1579765.97
100018,2791405.37
100019,4687777.4
100020,1638936.59
100021,7322631.17
100022,5049712.89
100023,2920837.25
100024,3113495.48
100025,3078493.07
100026,3129555.41
100027,4259069.04
100028,3556236.71
100029,2133686.43
100030,2435448.58
100031,3293642.64
100032,7590058.68
100033,3328493.37
100034,4538448.82
100035,5298757.62
100036,3211344.89
100037,7949092.66
100038,4232059.28
100039,11808366.53
100040,2993187.77
100041,2306638.52
100042,4526424.25
100043,1586576.34
100044,3010078.47
100045,3730563.28
100046,1067844.94
100047,2012148.06
100048,7404985.84
100049,2997403.42
100050,1217880.28
100051,6915905.5
100052,3632666.66
100053,3855765.13
100054,2035210.51
100055,8867265.55
100056,10859236.2
100057,1679695.1
100058,15574404.95
100059,7385119.72
100060,6917355.63
100061,1405594.73
100062,3852804.31
100063,3887955.73
100064,3375349.88
100065,3203383.41
100066,5893319.41
100067,2386172.71
100068,2877329.59
100069,26130241.28
100070,1446472.49
100071,2092912.1
100072,3578111.59
100073,6351980.27
100074,1593185.74
100075,1919326.98
100076,5148652.13
100077,12119819.22
100078,6124975.99
100079,2936641.34
100080,6789497.11
100081,9721926.47
100082,807168.43
100083,6122524.62
100084,2364123.28
100085,12860883.73
100086,5904108.47
100087,8146596.05
100088,2651084.85
100089,2480141.47
100090,2236743.87
100091,8183966.61
100092,4423880.37
100093,2361785.53
100094,1466052.94
100095,4577468.58
100096,2192061.77
100097,5865117.76
100098,3347354.07
100099,3554588.77
100100,3669540.53
100101,4683039.4
100102,7031454.8
100103,1752997.06
100104,2470430.61
100105,3104584.92
100106,13946605.45
100107,3590865.39
100108,4454253.08
100109,4802831.58
100110,21997857.22
100111,2205422.84
100112,5211061.19
100113,2973272.89
100114,8226871.28
100115,5869085.67
100116,5120273.06
100117,2692043.81
100118,4022374.09
100119,4004549.33
100120,1621964.89
100121,3760687.7
100122,1984044.68
100123,7263263.08
100124,6909779.79
100125,4418654.79
100126,2046391.63
100127,8171196.33
100128,5053350.54
100129,5373180.52
100130,1958114.84
100131,8380809.18
100132,5119352.93
100133,3468508.55
100134,3304532.42
100135,4472621.38
100136,6455047.49
100137,1955703.16
100138,3084401.64
100139,9166422.08
100140,3471190.25
100141,5033849.03
100142,1936746.74
100143,12007910.46
100144,1515385.52
100145,4889323.75
100146,6217664.64
100147,6176241.39
100148,1125506.6
100149,9818474.64
100150,2772417.75
100151,12332017.94
100152,1954021.88
100153,3066739.73
100154,1153966.65
100155,1767312.88
100156,7636836.99
100157,4231708.65
100158,3079178.53
100159,8720383.59
100160,7139547.24
100161,10018010.7
100162,5353307.54
100163,4192445.68
100164,5879882.23
100165,1975085.65
100166,5848415.28
100167,5900605.96
100168,2899962.23
100169,3846492.32
100170,5498911.9
100171,8623233.58
100172,2950604.86
100173,4821041.1
100174,2522778.74
100175,10565702.96
100176,1517611.34
100177,3687332.18
100178,7845714.33
